StudentId,Time,Type,Action
584e,"23/05/23, 19:05",Questionnaire,Course module viewed
584e,"23/05/23, 19:05",Questionnaire,Course module viewed
584e,"23/05/23, 19:05",System,Course viewed
584e,"23/05/23, 19:05",System,Course viewed
bde7,"23/05/23, 13:03",Questionnaire,Individual Responses report viewed
bde7,"23/05/23, 13:03",Questionnaire,Course module viewed
bde7,"23/05/23, 13:03",System,Course viewed
bde7,"23/05/23, 13:03",Scheduler,Scheduler booking form viewed
bde7,"23/05/23, 13:03",Questionnaire,Individual Responses report viewed
bde7,"23/05/23, 13:03",Questionnaire,Responses submitted
bde7,"23/05/23, 13:03",Questionnaire,Course module viewed
bde7,"23/05/23, 13:02",System,Course viewed
d3e2,"23/05/23, 10:53",System,Course viewed
8a21,"23/05/23, 09:57",System,Course viewed
8a21,"23/05/23, 09:57",Questionnaire,Course module viewed
8a21,"23/05/23, 09:56",System,Course viewed
8a21,"23/05/23, 09:53",Questionnaire,Responses submitted
8a21,"23/05/23, 09:53",Questionnaire,Course module viewed
8a21,"23/05/23, 09:52",System,Course viewed
c426,"23/05/23, 00:40",Questionnaire,Course module viewed
c426,"23/05/23, 00:40",System,Course viewed
584e,"22/05/23, 23:37",System,Course viewed
584e,"22/05/23, 23:37",System,Course viewed
584e,"22/05/23, 23:37",Questionnaire,Course module viewed
584e,"22/05/23, 23:37",Questionnaire,Individual Responses report viewed
584e,"22/05/23, 23:37",Questionnaire,Individual Responses report viewed
584e,"22/05/23, 23:37",Questionnaire,Course module viewed
584e,"22/05/23, 23:37",Questionnaire,Course module viewed
584e,"22/05/23, 23:36",System,Course viewed
584e,"22/05/23, 23:36",System,Course viewed
7703,"22/05/23, 17:45",System,Course viewed
7703,"22/05/23, 17:45",System,Course viewed
7703,"22/05/23, 17:34",Folder,Course module viewed
7703,"22/05/23, 17:34",System,Course viewed
7703,"22/05/23, 17:33",System,Course viewed
7703,"22/05/23, 17:19",Folder,Course module viewed
7703,"22/05/23, 17:19",File,Course module viewed
7703,"22/05/23, 17:18",File,Course module viewed
7703,"22/05/23, 17:18",File,Course module viewed
7703,"22/05/23, 17:18",File,Course module viewed
7703,"22/05/23, 17:17",System,Course viewed
72af,"22/05/23, 16:15",User report,Grade user report viewed
72af,"22/05/23, 16:15",System,Course viewed
f605,"22/05/23, 13:56",Questionnaire,Responses submitted
f605,"22/05/23, 13:56",Questionnaire,Course module viewed
f605,"22/05/23, 13:56",System,Course viewed
8b7a,"22/05/23, 13:52",Questionnaire,Individual Responses report viewed
8b7a,"22/05/23, 13:52",Questionnaire,Responses submitted
8b7a,"22/05/23, 13:52",Questionnaire,Course module viewed
f605,"22/05/23, 13:52",System,Course viewed
f605,"22/05/23, 13:52",System,Course viewed
f605,"22/05/23, 13:51",System,Course viewed
8b7a,"22/05/23, 13:51",Forum,Course module viewed
8b7a,"22/05/23, 13:51",System,Course viewed
8b7a,"22/05/23, 13:51",Questionnaire,Course module viewed
8b7a,"22/05/23, 13:50",Questionnaire,Course module viewed
8b7a,"22/05/23, 13:50",System,Course viewed
f605,"22/05/23, 13:50",System,Course viewed
584e,"22/05/23, 13:22",Questionnaire,Individual Responses report viewed
584e,"22/05/23, 13:21",Questionnaire,Responses submitted
584e,"22/05/23, 13:20",Questionnaire,Course module viewed
584e,"22/05/23, 13:20",Questionnaire,Course module viewed
584e,"22/05/23, 13:20",System,Course viewed
584e,"22/05/23, 13:20",System,Course viewed
8ddb,"22/05/23, 13:06",System,Course viewed
8ddb,"22/05/23, 13:06",Questionnaire,Individual Responses report viewed
8ddb,"22/05/23, 13:06",Questionnaire,Responses submitted
8ddb,"22/05/23, 13:06",Questionnaire,Course module viewed
8ddb,"22/05/23, 13:05",System,Course viewed
8ddb,"22/05/23, 13:00",Page,Course module viewed
1120,"22/05/23, 13:00",System,Course viewed
1120,"22/05/23, 13:00",Questionnaire,Individual Responses report viewed
1120,"22/05/23, 13:00",Questionnaire,Responses submitted
1120,"22/05/23, 12:59",Questionnaire,Course module viewed
1120,"22/05/23, 12:59",System,Course viewed
8ddb,"22/05/23, 12:59",System,Course viewed
72af,"21/05/23, 12:41",User report,Grade user report viewed
72af,"21/05/23, 12:41",System,Course viewed
c426,"21/05/23, 00:16",System,Course viewed
c426,"20/05/23, 21:53",System,Course viewed
c426,"20/05/23, 21:53",Turnitin Assignment 2,List Submissions
c426,"20/05/23, 21:50",System,Course viewed
56fe,"19/05/23, 01:31",Folder,Zip archive of folder downloaded
56fe,"19/05/23, 01:31",Folder,Course module viewed
56fe,"19/05/23, 01:30",System,Course viewed
c426,"18/05/23, 16:08",System,Course viewed
c426,"18/05/23, 16:08",System,Course viewed
1123,"18/05/23, 14:09",Turnitin Assignment 2,List Submissions
1123,"18/05/23, 14:08",System,Course viewed
1123,"18/05/23, 14:08",Turnitin Assignment 2,List Submissions
1123,"18/05/23, 14:07",System,Course viewed
6fec,"18/05/23, 13:51",User report,Grade user report viewed
c040,"18/05/23, 12:59",System,Course user report viewed
56fe,"17/05/23, 15:19",System,Course viewed
56fe,"17/05/23, 15:17",Folder,Course module viewed
56fe,"17/05/23, 15:16",System,Course viewed
72af,"17/05/23, 11:35",User report,Grade user report viewed
72af,"17/05/23, 11:35",System,Course viewed
d60c,"17/05/23, 10:46",File,Course module viewed
d60c,"17/05/23, 10:45",System,Course viewed
d3e2,"16/05/23, 22:52",System,Course user report viewed
a8b5,"16/05/23, 22:47",User report,Grade user report viewed
a8b5,"16/05/23, 22:47",System,Course viewed
c426,"15/05/23, 15:40",System,Course user report viewed
72af,"15/05/23, 14:01",User report,Grade user report viewed
72af,"15/05/23, 14:01",System,Course viewed
631b,"15/05/23, 08:42",File,Course module viewed
631b,"15/05/23, 08:41",System,Course viewed
631b,"14/05/23, 18:16",User report,Grade user report viewed
a6c7,"13/05/23, 16:53",Folder,Course module viewed
a6c7,"13/05/23, 16:52",File,Course module viewed
a6c7,"13/05/23, 16:52",System,Course viewed
a6c7,"13/05/23, 16:52",System,Course viewed
72af,"12/05/23, 13:32",User report,Grade user report viewed
72af,"12/05/23, 13:31",System,Course viewed
72af,"10/05/23, 09:56",User report,Grade user report viewed
72af,"10/05/23, 09:56",System,Course viewed
631b,"10/05/23, 07:55",Turnitin Assignment 2,List Submissions
e18b,"9/05/23, 11:01",Turnitin Assignment 2,List Submissions
e18b,"9/05/23, 11:01",System,Course viewed
e18b,"9/05/23, 11:00",Quiz,Course module viewed
e18b,"9/05/23, 11:00",System,Course viewed
e18b,"9/05/23, 10:59",Quiz,Course module viewed
e18b,"9/05/23, 10:59",System,Course viewed
e18b,"9/05/23, 10:59",Turnitin Assignment 2,List Submissions
e18b,"9/05/23, 10:59",System,Course viewed
e18b,"9/05/23, 10:59",Quiz,Course module viewed
e18b,"9/05/23, 10:59",System,Course viewed
e18b,"9/05/23, 10:58",Page,Course module viewed
e18b,"9/05/23, 10:58",System,Course viewed
e18b,"9/05/23, 10:58",Turnitin Assignment 2,List Submissions
e18b,"9/05/23, 10:58",System,Course viewed
e18b,"9/05/23, 10:57",Page,Course module viewed
e18b,"9/05/23, 10:57",System,Course viewed
e18b,"9/05/23, 10:56",System,Course viewed
631b,"8/05/23, 14:20",Turnitin Assignment 2,List Submissions
631b,"8/05/23, 14:20",System,Course viewed
322b,"8/05/23, 14:08",System,Course viewed
322b,"8/05/23, 14:08",Folder,Course module viewed
322b,"8/05/23, 14:08",URL,Course module viewed
72af,"8/05/23, 13:50",User report,Grade user report viewed
72af,"8/05/23, 13:50",System,Course viewed
8ddb,"8/05/23, 12:44",System,Course viewed
8ddb,"8/05/23, 12:41",Folder,Course module viewed
8ddb,"8/05/23, 12:39",File,Course module viewed
8ddb,"8/05/23, 12:39",System,Course viewed
8ddb,"8/05/23, 12:39",Folder,Course module viewed
8ddb,"8/05/23, 12:38",System,Course viewed
8ddb,"8/05/23, 12:38",Folder,Course module viewed
8ddb,"8/05/23, 12:38",System,Course viewed
8ddb,"8/05/23, 12:38",Folder,Course module viewed
8ddb,"8/05/23, 12:38",System,Course viewed
8ddb,"8/05/23, 12:38",Folder,Course module viewed
8ddb,"8/05/23, 12:38",System,Course viewed
8ddb,"8/05/23, 12:38",Folder,Course module viewed
8ddb,"8/05/23, 12:38",System,Course viewed
8ddb,"8/05/23, 12:37",Folder,Course module viewed
8ddb,"8/05/23, 12:37",File,Course module viewed
8ddb,"8/05/23, 12:37",System,Course viewed
8ddb,"8/05/23, 12:37",Folder,Course module viewed
8ddb,"8/05/23, 12:37",System,Course viewed
8ddb,"8/05/23, 12:37",Folder,Course module viewed
8ddb,"8/05/23, 12:36",File,Course module viewed
8ddb,"8/05/23, 12:36",System,Course viewed
8ddb,"8/05/23, 12:35",Folder,Course module viewed
8ddb,"8/05/23, 12:35",System,Course viewed
8ddb,"8/05/23, 12:35",Folder,Course module viewed
8ddb,"8/05/23, 12:35",File,Course module viewed
8ddb,"8/05/23, 12:34",URL,Course module viewed
8ddb,"8/05/23, 12:34",System,Course viewed
8ddb,"8/05/23, 12:33",Folder,Course module viewed
8ddb,"8/05/23, 12:33",System,Course viewed
8ddb,"8/05/23, 12:32",Folder,Course module viewed
8ddb,"8/05/23, 12:32",System,Course viewed
8ddb,"8/05/23, 12:32",Folder,Course module viewed
8ddb,"8/05/23, 12:31",File,Course module viewed
8ddb,"8/05/23, 12:31",System,Course viewed
8ddb,"8/05/23, 12:31",Folder,Course module viewed
8ddb,"8/05/23, 12:31",File,Course module viewed
8ddb,"8/05/23, 12:30",System,Course viewed
8ddb,"8/05/23, 12:29",Folder,Course module viewed
8ddb,"8/05/23, 12:29",System,Course viewed
8ddb,"8/05/23, 12:28",Folder,Course module viewed
8ddb,"8/05/23, 12:28",System,Course viewed
8ddb,"8/05/23, 12:28",Folder,Course module viewed
8ddb,"8/05/23, 12:28",System,Course viewed
8ddb,"8/05/23, 12:28",Folder,Course module viewed
8ddb,"8/05/23, 12:28",System,Course viewed
8ddb,"8/05/23, 12:28",Assignment,The status of the submission has been viewed.
8ddb,"8/05/23, 12:28",Assignment,Course module viewed
8ddb,"8/05/23, 12:28",System,Course viewed
8ddb,"8/05/23, 12:28",Folder,Course module viewed
8ddb,"8/05/23, 12:28",System,Course viewed
8ddb,"8/05/23, 12:27",Folder,Course module viewed
8ddb,"8/05/23, 12:27",System,Course viewed
8ddb,"8/05/23, 12:27",Folder,Course module viewed
8ddb,"8/05/23, 12:27",System,Course viewed
8ddb,"8/05/23, 12:27",Folder,Course module viewed
8ddb,"8/05/23, 12:27",System,Course viewed
8ddb,"8/05/23, 12:26",Folder,Course module viewed
8ddb,"8/05/23, 12:26",System,Course viewed
8ddb,"8/05/23, 12:26",Folder,Course module viewed
8ddb,"8/05/23, 12:25",System,Course viewed
8ddb,"8/05/23, 12:25",Folder,Course module viewed
8ddb,"8/05/23, 12:23",System,Course viewed
8ddb,"8/05/23, 12:22",Folder,Course module viewed
8ddb,"8/05/23, 12:22",System,Course viewed
8ddb,"8/05/23, 12:21",Folder,Course module viewed
8ddb,"8/05/23, 12:21",System,Course viewed
8ddb,"8/05/23, 12:21",Folder,Course module viewed
8ddb,"8/05/23, 12:21",File,Course module viewed
8ddb,"8/05/23, 12:21",System,Course viewed
8ddb,"8/05/23, 12:20",Folder,Course module viewed
8ddb,"8/05/23, 12:20",System,Course viewed
8ddb,"8/05/23, 12:20",Folder,Course module viewed
8ddb,"8/05/23, 12:20",System,Course viewed
8ddb,"8/05/23, 12:19",Folder,Course module viewed
8ddb,"8/05/23, 12:19",URL,Course module viewed
8ddb,"8/05/23, 12:18",URL,Course module viewed
8ddb,"8/05/23, 12:15",System,Course viewed
322b,"8/05/23, 12:02",System,Course viewed
322b,"8/05/23, 12:01",System,Course viewed
322b,"8/05/23, 12:00",User report,Grade user report viewed
322b,"8/05/23, 12:00",System,Course viewed
322b,"8/05/23, 11:57",System,Course viewed
322b,"8/05/23, 11:57",System,Course viewed
322b,"8/05/23, 11:56",User report,Grade user report viewed
322b,"8/05/23, 11:56",URL,Course module viewed
322b,"8/05/23, 11:54",File,Course module viewed
322b,"8/05/23, 11:54",URL,Course module viewed
322b,"8/05/23, 11:54",File,Course module viewed
322b,"8/05/23, 11:53",File,Course module viewed
322b,"8/05/23, 11:52",File,Course module viewed
322b,"8/05/23, 11:52",System,Course viewed
322b,"8/05/23, 11:51",Folder,Course module viewed
322b,"8/05/23, 11:51",Folder,Course module viewed
322b,"8/05/23, 11:51",System,Course viewed
322b,"8/05/23, 11:51",Folder,Course module viewed
322b,"8/05/23, 11:51",Folder,Course module viewed
322b,"8/05/23, 11:50",URL,Course module viewed
322b,"8/05/23, 11:50",URL,Course module viewed
322b,"8/05/23, 11:50",System,Course viewed
322b,"8/05/23, 11:49",Folder,Course module viewed
322b,"8/05/23, 11:49",System,Course viewed
322b,"8/05/23, 11:47",Folder,Course module viewed
322b,"8/05/23, 11:47",System,Course viewed
322b,"8/05/23, 11:47",Kaltura Video Resource,Video resource viewed
322b,"8/05/23, 11:46",Folder,Course module viewed
322b,"8/05/23, 11:45",System,Course viewed
322b,"8/05/23, 11:44",Folder,Course module viewed
322b,"8/05/23, 11:44",File,Course module viewed
322b,"8/05/23, 11:43",File,Course module viewed
322b,"8/05/23, 11:43",System,Course viewed
322b,"8/05/23, 11:42",Folder,Course module viewed
322b,"8/05/23, 11:41",File,Course module viewed
322b,"8/05/23, 11:41",System,Course viewed
322b,"8/05/23, 11:31",Folder,Course module viewed
322b,"8/05/23, 11:30",File,Course module viewed
322b,"8/05/23, 11:29",System,Course viewed
322b,"8/05/23, 11:28",Folder,Course module viewed
322b,"8/05/23, 11:27",System,Course viewed
322b,"8/05/23, 11:25",Folder,Course module viewed
322b,"8/05/23, 11:25",System,Course viewed
322b,"8/05/23, 11:25",Folder,Course module viewed
322b,"8/05/23, 11:24",System,Course viewed
322b,"8/05/23, 11:23",Folder,Course module viewed
322b,"8/05/23, 11:23",System,Course viewed
322b,"8/05/23, 11:22",Folder,Course module viewed
322b,"8/05/23, 11:22",System,Course viewed
322b,"8/05/23, 11:21",Folder,Course module viewed
322b,"8/05/23, 11:21",System,Course viewed
322b,"8/05/23, 11:17",Folder,Course module viewed
322b,"8/05/23, 11:17",Folder,Course module viewed
322b,"8/05/23, 11:17",System,Course viewed
322b,"8/05/23, 11:16",Folder,Course module viewed
322b,"8/05/23, 11:16",System,Course viewed
322b,"8/05/23, 11:15",Folder,Course module viewed
322b,"8/05/23, 11:15",System,Course viewed
322b,"8/05/23, 11:13",Folder,Course module viewed
322b,"8/05/23, 11:13",Folder,Course module viewed
322b,"8/05/23, 11:13",System,Course viewed
322b,"8/05/23, 11:13",Folder,Course module viewed
322b,"8/05/23, 11:13",Folder,Course module viewed
322b,"8/05/23, 11:12",System,Course viewed
322b,"8/05/23, 11:11",Folder,Course module viewed
322b,"8/05/23, 11:11",Folder,Course module viewed
322b,"8/05/23, 11:11",System,Course viewed
322b,"8/05/23, 11:11",Folder,Course module viewed
322b,"8/05/23, 11:11",Folder,Course module viewed
322b,"8/05/23, 11:11",System,Course viewed
322b,"8/05/23, 11:10",Folder,Course module viewed
322b,"8/05/23, 11:10",Folder,Course module viewed
322b,"8/05/23, 11:10",System,Course viewed
322b,"8/05/23, 11:09",Folder,Course module viewed
322b,"8/05/23, 11:09",Folder,Course module viewed
322b,"8/05/23, 11:09",System,Course viewed
322b,"8/05/23, 11:08",Folder,Course module viewed
322b,"8/05/23, 11:08",Folder,Course module viewed
322b,"8/05/23, 11:07",System,Course viewed
322b,"8/05/23, 11:06",Folder,Course module viewed
322b,"8/05/23, 11:06",System,Course viewed
322b,"8/05/23, 11:05",Folder,Course module viewed
322b,"8/05/23, 11:05",Folder,Course module viewed
322b,"8/05/23, 11:05",System,Course viewed
322b,"8/05/23, 11:05",Folder,Course module viewed
322b,"8/05/23, 11:05",Folder,Course module viewed
322b,"8/05/23, 11:05",System,Course viewed
322b,"8/05/23, 11:05",Folder,Course module viewed
322b,"8/05/23, 11:05",Folder,Course module viewed
322b,"8/05/23, 11:05",System,Course viewed
322b,"8/05/23, 11:05",Folder,Course module viewed
322b,"8/05/23, 11:05",Folder,Course module viewed
322b,"8/05/23, 11:05",System,Course viewed
322b,"8/05/23, 11:04",Folder,Course module viewed
322b,"8/05/23, 11:04",Folder,Course module viewed
322b,"8/05/23, 11:04",System,Course viewed
322b,"8/05/23, 11:04",Folder,Course module viewed
322b,"8/05/23, 11:04",Folder,Course module viewed
322b,"8/05/23, 11:04",System,Course viewed
322b,"8/05/23, 11:03",Folder,Course module viewed
322b,"8/05/23, 11:03",System,Course viewed
322b,"8/05/23, 11:03",Folder,Course module viewed
322b,"8/05/23, 11:03",Folder,Course module viewed
322b,"8/05/23, 11:02",System,Course viewed
322b,"8/05/23, 11:02",Folder,Course module viewed
322b,"8/05/23, 11:02",Folder,Course module viewed
322b,"8/05/23, 11:02",System,Course viewed
322b,"8/05/23, 11:02",Folder,Course module viewed
322b,"8/05/23, 11:02",Folder,Course module viewed
322b,"8/05/23, 11:02",System,Course viewed
322b,"8/05/23, 11:02",Quiz,Course module viewed
322b,"8/05/23, 11:02",Quiz,Course module viewed
322b,"8/05/23, 11:01",System,Course viewed
322b,"8/05/23, 11:01",Folder,Course module viewed
322b,"8/05/23, 11:01",Folder,Course module viewed
322b,"8/05/23, 11:01",System,Course viewed
322b,"8/05/23, 11:01",Folder,Course module viewed
322b,"8/05/23, 11:01",Folder,Course module viewed
322b,"8/05/23, 11:00",System,Course viewed
322b,"8/05/23, 11:00",Kaltura Video Resource,Video resource viewed
322b,"8/05/23, 11:00",Kaltura Video Resource,Video resource viewed
322b,"8/05/23, 11:00",Folder,Course module viewed
322b,"8/05/23, 11:00",Folder,Course module viewed
322b,"8/05/23, 11:00",System,Course viewed
322b,"8/05/23, 11:00",Folder,Course module viewed
322b,"8/05/23, 10:59",System,Course viewed
322b,"8/05/23, 10:59",Kaltura Video Resource,Video resource viewed
322b,"8/05/23, 10:59",Kaltura Video Resource,Video resource viewed
322b,"8/05/23, 10:59",URL,Course module viewed
322b,"8/05/23, 10:59",Folder,Zip archive of folder downloaded
322b,"8/05/23, 10:58",Folder,Course module viewed
8a21,"8/05/23, 10:49",Folder,Course module viewed
8a21,"8/05/23, 10:49",System,Course viewed
8a21,"8/05/23, 10:48",Turnitin Assignment 2,List Submissions
8a21,"8/05/23, 10:48",System,Course viewed
8a21,"8/05/23, 10:41",Turnitin Assignment 2,List Submissions
8a21,"8/05/23, 10:41",System,Course viewed
8a21,"8/05/23, 10:37",Folder,Course module viewed
8a21,"8/05/23, 10:37",System,Course viewed
322b,"8/05/23, 10:31",URL,Course module viewed
322b,"8/05/23, 10:29",URL,Course module viewed
322b,"8/05/23, 10:28",System,Course viewed
322b,"8/05/23, 09:58",System,Course viewed
8a21,"5/05/23, 19:27",System,Course user report viewed
e2e7,"5/05/23, 17:44",System,Course viewed
491a,"4/05/23, 21:02",User report,Grade user report viewed
491a,"4/05/23, 21:02",System,Course viewed
a6c7,"4/05/23, 16:28",Kaltura Video Resource,Video resource viewed
a6c7,"4/05/23, 16:27",System,Course viewed
a6c7,"4/05/23, 16:22",Kaltura Video Resource,Video resource viewed
a6c7,"4/05/23, 16:02",Kaltura Video Resource,Video resource viewed
a6c7,"4/05/23, 16:02",System,Course viewed
a6c7,"4/05/23, 16:02",Kaltura Video Resource,Video resource viewed
a6c7,"4/05/23, 16:02",System,Course viewed
72af,"4/05/23, 13:13",User report,Grade user report viewed
72af,"4/05/23, 13:13",System,Course viewed
a6c7,"4/05/23, 12:50",System,Course viewed
a6c7,"4/05/23, 10:22",System,Course viewed
a6c7,"4/05/23, 10:20",System,Course viewed
c426,"3/05/23, 18:19",File,Course module viewed
c426,"3/05/23, 18:19",File,Course module viewed
c426,"3/05/23, 18:19",File,Course module viewed
c426,"3/05/23, 18:19",System,Course viewed
c426,"3/05/23, 18:12",System,Course user report viewed
c426,"3/05/23, 18:07",Turnitin Assignment 2,List Submissions
c426,"3/05/23, 18:07",System,Course viewed
322b,"3/05/23, 17:16",System,Course viewed
71e7,"3/05/23, 14:26",System,Course viewed
71e7,"3/05/23, 14:26",Quiz,Course module viewed
71e7,"3/05/23, 14:26",System,Course viewed
71e7,"3/05/23, 14:25",Quiz,Course module viewed
71e7,"3/05/23, 14:25",System,Course viewed
71e7,"3/05/23, 14:24",Turnitin Assignment 2,List Submissions
71e7,"3/05/23, 14:24",System,Course viewed
71e7,"3/05/23, 14:24",Quiz,Course module viewed
71e7,"3/05/23, 14:24",System,Course viewed
71e7,"3/05/23, 14:23",Turnitin Assignment 2,List Submissions
71e7,"3/05/23, 14:23",System,Course viewed
a6c7,"3/05/23, 13:50",Folder,Course module viewed
a6c7,"3/05/23, 13:48",System,Course viewed
a6c7,"3/05/23, 13:48",Folder,Course module viewed
a6c7,"3/05/23, 13:48",System,Course viewed
e18b,"3/05/23, 12:06",Quiz,Course module viewed
e18b,"3/05/23, 12:06",System,Course viewed
e18b,"3/05/23, 12:06",Quiz,Course module viewed
e18b,"3/05/23, 12:05",System,Course viewed
6fec,"3/05/23, 11:31",User report,Grade user report viewed
49cf,"3/05/23, 10:07",System,Course viewed
52d9,"3/05/23, 09:59",System,Course viewed
56fe,"3/05/23, 00:38",System,Course viewed
56fe,"3/05/23, 00:38",User report,Grade user report viewed
56fe,"3/05/23, 00:38",System,Course viewed
f21b,"3/05/23, 00:20",System,Course viewed
f21b,"3/05/23, 00:20",Turnitin Assignment 2,List Submissions
f21b,"3/05/23, 00:20",System,Course viewed
f21b,"3/05/23, 00:20",Quiz,Course module viewed
f21b,"3/05/23, 00:20",System,Course viewed
f21b,"3/05/23, 00:20",System,Course viewed
f21b,"3/05/23, 00:20",Quiz,Course module viewed
f21b,"3/05/23, 00:20",System,Course viewed
f21b,"3/05/23, 00:20",Turnitin Assignment 2,List Submissions
f21b,"3/05/23, 00:20",System,Course viewed
f21b,"3/05/23, 00:19",Quiz,Course module viewed
f21b,"3/05/23, 00:19",System,Course viewed
f21b,"3/05/23, 00:19",Turnitin Assignment 2,List Submissions
f21b,"3/05/23, 00:19",System,Course viewed
d1d7,"2/05/23, 15:56",Turnitin Assignment 2,List Submissions
d1d7,"2/05/23, 15:56",System,Course viewed
d1d7,"2/05/23, 15:56",Quiz,Course module viewed
d1d7,"2/05/23, 15:56",System,Course viewed
d1d7,"2/05/23, 15:55",Turnitin Assignment 2,List Submissions
d1d7,"2/05/23, 15:55",System,Course viewed
d1d7,"2/05/23, 15:55",Quiz,Course module viewed
d1d7,"2/05/23, 15:55",System,Course viewed
d1d7,"2/05/23, 15:55",Quiz,Course module viewed
d1d7,"2/05/23, 15:55",Quiz,Course module viewed
d1d7,"2/05/23, 15:55",System,Course viewed
d1d7,"2/05/23, 15:53",Turnitin Assignment 2,List Submissions
d1d7,"2/05/23, 15:53",System,Course viewed
d1d7,"2/05/23, 15:53",System,Course viewed
5a4b,"2/05/23, 15:01",User report,Grade user report viewed
5a4b,"2/05/23, 15:00",System,Course viewed
72af,"2/05/23, 14:22",User report,Grade user report viewed
72af,"2/05/23, 14:22",System,Course viewed
c040,"2/05/23, 11:36",System,Course user report viewed
c040,"2/05/23, 11:30",System,Course user report viewed
8a21,"2/05/23, 10:52",System,Course user report viewed
5e07,"2/05/23, 10:40",Quiz,Course module viewed
5e07,"2/05/23, 10:38",Quiz,Course module viewed
37dc,"2/05/23, 10:35",Turnitin Assignment 2,List Submissions
5e07,"2/05/23, 10:32",User report,Grade user report viewed
5e07,"2/05/23, 10:31",System,Course viewed
37dc,"2/05/23, 10:29",System,Course user report viewed
7703,"2/05/23, 10:22",System,Course viewed
37dc,"2/05/23, 10:14",System,Course user report viewed
37dc,"2/05/23, 10:14",System,Course viewed
37dc,"2/05/23, 10:06",User report,Grade user report viewed
37dc,"2/05/23, 10:06",System,Course viewed
5e07,"1/05/23, 22:36",User report,Grade user report viewed
5e07,"1/05/23, 22:35",System,Course viewed
1f32,"1/05/23, 20:24",User report,Grade user report viewed
1f32,"1/05/23, 20:24",System,Course viewed
020c,"1/05/23, 20:10",Quiz,Course module viewed
020c,"1/05/23, 20:08",User report,Grade user report viewed
020c,"1/05/23, 20:08",System,Course viewed
76bb,"1/05/23, 14:14",User report,Grade user report viewed
76bb,"1/05/23, 14:14",System,Course viewed
76bb,"1/05/23, 14:09",User report,Grade user report viewed
76bb,"1/05/23, 14:09",File,Course module viewed
76bb,"1/05/23, 14:08",File,Course module viewed
76bb,"1/05/23, 14:08",System,Course viewed
76bb,"1/05/23, 14:08",User report,Grade user report viewed
76bb,"1/05/23, 14:08",System,Course viewed
e18b,"1/05/23, 12:36",Turnitin Assignment 2,List Submissions
e18b,"1/05/23, 12:36",System,Course viewed
e18b,"1/05/23, 12:36",Folder,Course module viewed
e18b,"1/05/23, 12:35",System,Course viewed
e744,"1/05/23, 11:53",System,Course viewed
76bb,"1/05/23, 11:46",User report,Grade user report viewed
76bb,"1/05/23, 11:46",System,Course viewed
e744,"1/05/23, 11:36",Quiz,Course module viewed
e744,"1/05/23, 11:36",System,Course viewed
e744,"1/05/23, 11:35",Quiz,Course module viewed
e744,"1/05/23, 11:34",System,Course viewed
e744,"1/05/23, 11:34",Turnitin Assignment 2,List Submissions
e744,"1/05/23, 11:34",System,Course viewed
e744,"1/05/23, 11:16",System,Course viewed
e744,"1/05/23, 11:15",Turnitin Assignment 2,List Submissions
e744,"1/05/23, 11:15",System,Course viewed
e744,"1/05/23, 11:15",Quiz,Course module viewed
e744,"1/05/23, 11:15",System,Course viewed
